编号,状态,首次记录日期,主题,核心观点,人物,来源ID,拟用标题,关键词,设备,备注
LT011,已制作,2026-09-12,女性成长,停止用过去的错误惩罚自己并从自我接纳中建立力量,Sarah Jakes Roberts,M98E87vhM_c,"停止惩罚过去的自己，你才能长成新的自己","女性成长|自我接纳|疗愈|停止讨好",另一设备,封面加8页成品；发布状态待确认
LT012,已制作,2026-09-12,理性显化,显化不是许愿而是通过意图注意与行动训练大脑识别机会,Dr. Jim Doty,s-wONyk3RV0,"真正的显化，不是许愿，而是训练大脑看见机会","显化|神经科学|注意力|行动",另一设备,封面加8页成品；与LT010和LT015存在主题邻近；发布状态待确认
LT013,已制作,2026-09-12,职场成长,职场价值不会自动被看见需要用沟通数据和主动反馈准确传递,Dr. Alison Wood Brooks,KmRPqrM9SWM,"职场里最容易被忽略的真相：价值不会自动被看见","职场|沟通|晋升|价值表达",另一设备,封面加8页成品；发布状态待确认
LT014,待取帧,2026-09-12,女性成长,女性不必为野心道歉并可在笨拙开始与失败后建立自信,Chelsea Handler,mLjwVKRzMdo,"女人最该戒掉的习惯：为自己的野心道歉","女性成长|野心|自信|允许开始",另一设备,8页脚本与封面已完成；真实人物帧和内容图待制作；发布状态待确认
LT015,待取帧,2026-09-12,理性显化,显化是用意图注意与重复改写反复相信的故事而不是控制结果,Dr. Cassandra Vieten,2WhnTeC0Ql0,"显化不是空想，而是改写你反复相信的故事","显化|想象力|意图|自我叙事",另一设备,8页脚本与封面已完成；真实人物帧和内容图待制作；与LT010和LT012主题邻近
LT016,待取帧,2026-09-12,职场沟通,艰难对话应先管理情绪再用情境影响邀请表达需求并守住边界,Kwame Christian,MV8xSekK-KE,"越难开口的话，越决定你的职场上限","职场|艰难对话|谈判|边界",另一设备,8页脚本与封面已完成；真实人物帧和内容图待制作；发布状态待确认
LT017,已制作,2026-09-13,自我成长,持续收藏成长内容可能用获得感替代真实行动并成为精致的逃避,Dr. Alok Kanojia,XEb89CQJPO4,"你不是成长，你是在逃避","自我成长|收藏|假努力|行动",另一设备,8页成品；脚本字幕；发布状态待确认
LT018,已制作,2026-09-13,AI与工作,当AI降低重复执行成本后定义问题建立系统和承担判断更有价值,Iman Gadzhi,wtDDjBOfTZo,"未来最廉价的，是执行力","AI|执行力|判断力|工作系统",另一设备,8页成品；脚本字幕；与LT002主题邻近；发布状态待确认
LT019,已制作,2026-09-14,学习方法,听懂带来的熟悉感不等于掌握真正学习从发现困惑并提出问题开始,Justin Sung,nIABz0Z4IRA,"听懂之后，学习才真正开始","学习方法|困惑|提问|信息过载",另一设备,8页成品；脚本字幕；发布状态待确认
LT020,已制作,2026-09-14,行动系统,稳定进步不应只依赖自律而要把正确选择提前设计成默认系统,Ali Abdaal,MBPHU7aaklM,"比自律更可靠的，是系统","自律|系统|习惯|时间管理",另一设备,8页成品；脚本字幕；与LT008主题邻近；发布状态待确认
LT021,不采用,2026-09-15,女性成长,事业看似完美时也可以承认自己并不快乐并停下来找回被职业身份挤掉的完整自我,Emma Watson,2caQ4j9oohE,"她在最红的时候停下来，才重新找回自己","女性成长|自我认同|事业暂停|内在声音",本设备,用户认为人物立场不符合账号气质；2026-09-15否决
LT022,不采用,2026-09-15,励志成长,十八岁独自在澳大利亚陷入孤独和失序后因兑现承诺坚持完整年并从不可退路中建立自我力量,Matthew McConaughey,QMzxNfX-uAg,"他人生最难熬的一年，后来成了最重要的一年","名人故事|低谷|承诺|坚持|自我力量",本设备,用户认为人物在目标受众中辨识度不足；2026-09-15否决
LT023,已制作,2026-09-15,女性成长,严重特技事故导致全身石膏和退意后重新确认对电影的热爱并学会在坚持梦想时保护自己,Michelle Yeoh,4cuHmio86uw,"杨紫琼：让我差点退圈的，不是最危险的那场戏","女性成长|杨紫琼|低谷|热爱|重新开始",本设备,8页黑金成品、独立封面与发布包已完成；逐句来源时间和英文短摘录已保存；用户已确认翻译处理和发布权限；发布状态待确认
LT024,不采用,2026-09-15,名人亲历,少年时期在里斯本训练因饥饿接受陌生人汉堡帮助多年后仍认出恩人并珍惜一路相伴的朋友,Cristiano Ronaldo,wy04CeNcy44,"成名多年后，C罗认出了那个送他汉堡的人","C罗|名人故事|感恩|友情|初心",本设备,用户认为人物争议较大且容易把账号标签带向体育频道；2026-09-15否决
LT025,已制作,2026-09-15,励志成长,黄仁勋坦言若带着今天的认知回到三十岁不会再创办英伟达因为真正支撑创业者走过痛苦脆弱和羞耻的是对困难的有限预知与身边人的长期支持,Jensen Huang,y6NfxiemvHg,"如果重来一次，黄仁勋不会再创办英伟达","黄仁勋|名人故事|创业低谷|脆弱|长期支持",本设备,8页黑金成品、独立封面与发布包已完成；逐句来源时间和英文短摘录已保存；用户已确认翻译处理和发布权限；发布状态待确认
LT026,已制作,2026-09-21,女性成长,没被邀请没被选中和被唱片公司拒绝的经历让泰勒把孤独写成作品并找到属于自己的道路,Taylor Swift,0bkDDJNOlJQ,"泰勒·斯威夫特：那些没被选中的时刻，后来都在帮我","女性成长|泰勒斯威夫特|被拒绝|孤独|创造",本设备,封面加8页黑金成品与发布包已完成；第一页前置核心金句；逐句来源时间和英文短摘录已保存；发布状态待确认
LT027,已制作,2026-09-21,女性成长,结束长期成功的节目后新电视网被公开判定失败奥普拉在羞耻和自我怀疑中学会允许失落并寻找下一步正确行动,Oprah Winfrey,GMWFieBGR7c,"奥普拉：站在事业巅峰后，我经历了最公开的一次失败","女性成长|奥普拉|公开失败|重新出发|下一步",本设备,封面加8页黑金成品与发布包已完成；第一页前置核心金句；逐句来源时间和英文短摘录已保存；发布状态待确认
LT028,制作中,2026-09-22,女性励志,失败会剥离外界期待并帮助人看清真正重要的事而想象力让人理解他人的处境,J.K. Rowling,wHGqp8lz36c,"失败，会帮你看清自己","女性成长|失败|选择|想象力|同理心",本设备,用户已选择并明确要求保持原主题；已提示与LT027存在失败主题邻近；待制作8页来源锁定脚本
LT029,制作中,2026-09-22,女性励志,真正的连接需要允许自己被看见而脆弱并非软弱而是勇气与真实的起点,Brené Brown,iCvmsMzlF7o,"脆弱，是另一种勇敢","女性成长|脆弱|勇气|连接|自我价值",本设备,用户已选择并明确要求保持原主题；已提示与LT025存在脆弱主题邻近；待制作8页来源锁定脚本
